"OTHER_INFO_ID","CONTENT","DOC_SPEC_ID"
299,"",15216
300,"",15217
301,"",15218
302,"",15219
303,"",15220
304,"",15221
305,"",15222
306,"",15223
307,"",15224
308,"",15225
309,"",15226
310,"",15227
311,"",15228
312,"",15229
313,"",15230
314,"",15231
315,"",15232
316,"",15233
317,"",15234
318,"",15235
319,"",15236
320,"",15237
321,"",15238
322,"",15239
323,"",15240
324,"",15241
325,"",15242
326,"",15243
327,"",15244
328,"",15245
329,"",15246
330,"",15247
331,"",15248
332,"",15249
333,"",15250
334,"",15251
335,"",15252
336,"",15253
337,"",15254
338,"",15255
339,"",15256
340,"",15257
341,"",15258
342,"",15259
343,"",15260
344,"",15261
345,"",15262
346,"",15263
347,"",15264
348,"",15265
349,"",15266
350,"",15267
351,"",15268
352,"",15269
353,"",15270
354,"",15271
355,"",15272
356,"",15273
357,"",15274
358,"",15275
359,"",15276
360,"",15277
361,"",15278
362,"",15279
363,"",15280
364,"",15281
365,"",15282
366,"",15283
367,"",15284
368,"",15285
369,"",15286
370,"",15287
371,"",15288
372,"",15289
373,"",15290
374,"",15291
375,"",15292
376,"",15293
377,"",15294
378,"",15295
379,"",15296
380,"",15297
381,"",15298
382,"",15299
383,"",15300
384,"",15301
385,"",15302
386,"",15303
387,"",15304
388,"",15305
389,"",15306
390,"",15307
391,"",15308
392,"",15309
393,"",15310
394,"",15311
395,"",15312
396,"",15313
397,"",15314
398,"",15315
399,"",15316
400,"",15317
401,"",15318
402,"",15319
403,"",15320
404,"",15321
405,"",15322
406,"",15323
407,"",15324
408,"",15325
409,"",15326
410,"",15327
411,"",15328
412,"",15329
413,"",15330
414,"",15331
415,"",15332
416,"",15333
417,"",15334
418,"",15335
419,"",15336
420,"",15337
421,"",15338
422,"",15339
423,"",15340
424,"",15341
425,"",15342
426,"",15343
427,"",15344
428,"",15345
429,"",15346
430,"",15347
431,"",15348
432,"",15349
433,"",15350
434,"",15351
435,"",15352
436,"",15353
437,"",15354
438,"",15355
439,"",15356
440,"",15357
441,"",15358
442,"",15359
443,"",15360
444,"",15361
445,"",15362
446,"",15363
447,"",15364
448,"",15365
449,"",15366
450,"",15367
451,"",15368
452,"",15369
453,"",15370
454,"",15371
455,"",15372
456,"",15373
457,"",15374
458,"",15375
459,"",15376
460,"",15377
461,"",15378
462,"",15379
463,"",15380
464,"",15381
465,"",15382
466,"",15383
467,"",15384
468,"",15385
469,"",15386
470,"",15387
471,"",15388
472,"",15389
473,"",15390
474,"",15391
475,"",15392
476,"",15393
477,"",15394
478,"",15395
479,"",15396
480,"",15397
481,"",15398
482,"",15399
483,"",15400
484,"",15401
485,"",15402
486,"",15403
487,"",15404
488,"",15405
489,"",15406
490,"",15407
491,"",15408
492,"",15409
493,"",15410
494,"",15411
495,"",15412
496,"",15413
497,"",15414
498,"",15415
499,"",15416
500,"",15417
501,"",15418
502,"",15419
503,"",15420
504,"",15421
505,"",15422
506,"",15423
507,"",15424
508,"",15425
509,"",15426
510,"",15427
511,"",15428
512,"",15429
513,"",15430
514,"",15431
515,"",15432
516,"",15433
517,"",15434
518,"",15435
519,"",15436
520,"",15437
521,"",15438
522,"",15439
523,"",15440
524,"",15441
525,"",15442
526,"",15443
527,"",15444
528,"",15445
529,"",15446
530,"",15447
531,"",15448
532,"",15449
533,"",15450
534,"",15451
535,"",15452
536,"",15453
537,"",15454
538,"",15455
539,"",15456
540,"",15457
541,"",15458
542,"",15459
543,"",15460
544,"",15461
545,"",15462
546,"",15463
547,"",15464
548,"",15465
549,"",15466
550,"",15467
551,"",15468
552,"",15469
553,"",15470
554,"",15471
555,"",15472
556,"",15473
557,"",15474
558,"",15475
559,"",15476
560,"",15477
561,"",15478
562,"",15479
563,"",15480
564,"",15481
565,"",15482
566,"",15483
567,"",15484
568,"",15485
569,"",15486
570,"",15487
571,"",15488
572,"",15489
573,"",15490
574,"",15491
575,"",15492
576,"",15493
577,"",15494
578,"",15495
579,"",15496
580,"",15497
581,"",15498
582,"",15499
583,"",15500
584,"",15501
585,"",15502
586,"",15503
587,"",15504
588,"",15505
589,"",15506
590,"",15507
591,"",15508
592,"",15509
593,"",15510
594,"",15511
595,"",15512
596,"",15513
597,"",15514
598,"",15515
599,"",15516
600,"",15517
601,"",15518
602,"",15519
603,"",15520
604,"",15521
605,"",15522
606,"",15523
607,"",15524
608,"",15525
609,"",15526
610,"",15527
611,"",15528
612,"",15529
613,"",15530
614,"",15531
615,"",15532
616,"",15533
617,"",15534
618,"",15535
619,"",15536
620,"",15537
621,"",15538
622,"",15539
623,"",15540
624,"",15541
625,"",15542
626,"",15543
627,"",15544
628,"",15545
629,"",15546
630,"",15547
631,"",15548
632,"",15549
633,"",15550
634,"",15551
635,"",15552
636,"",15553
637,"",15554
638,"",15555
639,"",15556
640,"",15557
641,"",15558
642,"",15559
643,"",15560
644,"",15561
645,"",15562
646,"",15563
647,"",15564
648,"",15565
649,"",15566
650,"",15567
651,"",15568
652,"",15569
653,"",15570
654,"",15571
655,"",15572
656,"",15573
657,"",15574
658,"",15575
659,"",15576
660,"",15577
661,"",15578
662,"",15579
663,"",15580
664,"",15581
665,"",15582
666,"",15583
667,"",15584
668,"",15585
669,"",15586
670,"",15587
671,"",15588
672,"",15589
673,"",15590
674,"",15591
675,"",15592
676,"",15593
677,"",15594
678,"",15595
679,"",15596
680,"",15597
681,"",15598
682,"",15599
683,"",15600
684,"",15601
685,"",15602
686,"",15603
687,"",15604
688,"",15605
689,"",15606
690,"",15607
691,"",15608
692,"",15609
693,"",15610
694,"",15611
695,"",15612
696,"",15613
697,"",15614
698,"",15615
699,"",15616
700,"",15617
701,"",15618
702,"",15619
703,"",15620
704,"",15621
705,"",15622
706,"",15623
707,"",15624
708,"",15625
709,"",15626
710,"",15627
711,"",15628
712,"",15629
713,"",15630
714,"",15631
715,"",15632
716,"",15633
717,"",15634
718,"",15635
719,"",15636
720,"",15637
721,"",15638
722,"",15639
723,"",15640
724,"",15641
725,"",15642
726,"",15643
727,"",15644
728,"",15645
